"quarter","assets.group","grossSR","netSR","grossCR","netCR","av.daily.ntrades","grossPnL","netPnL","stat"
"2022_Q1",2,-2.45994798505745,-6.06517167081535,-2.58666822623115,-3.01437240376343,33.4545454545455,-16901.1246673457,-43551.1246673457,-11.3760471082909
"2022_Q3",2,-0.088523820075878,-2.97974083106878,-0.199104283249474,-2.62352672904118,31.9240506329114,-770.002576287718,-26905.0025762877,-8.63746915856929
"2022_Q4",2,3.69803662321301,1.10477350631288,17.3586641018835,4.04222613538604,32.8974358974359,37936.870220363,11531.870220363,9.88370584037108
"2023_Q2",2,-3.74398430888017,-7.34495447290796,-2.59449899008265,-2.92938378815535,31.3246753246753,-24179.0542181026,-49679.0542181026,-11.4409526951496
"2023_Q4",2,-1.52152341651436,-5.91778089412781,-2.30341540204963,-3.09376633065558,36.4102564102564,-9774.52606996545,-39069.5260699654,-11.3397140790955
"2024_Q1",2,1.24655010526799,-1.98214488872543,2.02768176149594,-2.13869285278917,34.5128205128205,10585.4346544869,-17334.5653455131,-6.10105445860543
"2024_Q2",2,-1.6252125549119,-3.66977002191195,-2.60793011456708,-3.05536113018385,35.3076923076923,-22215.6142339997,-50960.6142339997,-12.0107867338067
"2022_Q2",2,-4.6691774190907,-7.90476386198656,-3.00091740813075,-3.17497867526795,33.5641025641026,-35103.8249465894,-61958.8249465894,-13.1014544149748
"2023_Q1",2,-1.33258662135481,-3.95484318573852,-1.74225061169955,-3.00291410894685,34.2820512820513,-13490.0331558881,-41190.0331558881,-11.1654241693358
"2023_Q3",2,-2.6483636964407,-6.60260781397513,-2.78813239896171,-3.23076923076923,35.4102564102564,-17699.1910114182,-46709.1910114182,-12.4188861622325
"2024_Q3",2,-1.17509999322414,-4.58164762460158,-2.54426118456781,-3.18987341772152,36.1012658227848,-9862.89134469508,-39217.8913446951,-11.704069996718
"2024_Q4",2,2.51867701678646,-0.39152086866249,12.5434139274896,-0.909513017399859,33.2025316455696,23242.5777638843,-3663.72223611568,-1.18098413087735
